Date,Stage,Stack,Time,TrackID,ID,Position.X,Position.Y,Position.Z,Seconds,Volume.spot,Nucleus.number,Condition
,,,,,,,,,,,,
10.1,1k,5,1,1000000000,0,-940.27,-2708.99,-58.0691,0,0.0870833,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000000,1,-940.725,-2708.99,-57.3293,0,0.0580557,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000002,2,-941.756,-2707.18,-56.1407,0,0.261247,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000000,3,-940.236,-2709.14,-58.5557,14.966,0.134253,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000000,4,-940.46,-2709.38,-57.8127,14.966,0.0870833,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000002,5,-941.477,-2707.74,-55.3262,14.966,0.304788,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,3,1000000000,6,-940.683,-2709.04,-57.467,30.104,0.126996,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,3,1000000002,7,-941.8,-2707.65,-54.3486,30.104,0.257619,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,4,1000000000,8,-940.493,-2708.7,-57.0627,44.945,0.290274,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,4,1000000002,9,-941.99,-2707.47,-53.4685,44.945,0.279389,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,4,NA,10,-943.833,-2710.73,-50.0835,44.945,0.0108856,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,5,1000000000,11,-940.345,-2708.78,-57.6315,59.934,0.239477,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,5,1000000002,12,-941.88,-2707.83,-53.3053,59.934,0.36647,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,6,1000000000,13,-940.227,-2708.89,-57.0052,74.975,0.243105,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,6,1000000002,14,-941.823,-2708.33,-52.601,74.975,0.293902,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,7,1000000000,15,-940.019,-2708.68,-57.4587,89.974,0.261247,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,7,1000000002,16,-941.689,-2708.32,-52.7135,89.974,0.330186,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,8,1000000000,17,-939.966,-2709.02,-57.6375,105.082,0.315673,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,8,1000000002,18,-941.659,-2709.02,-52.2337,105.082,0.330186,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,9,1000000000,19,-940.157,-2709.31,-57.0947,119.952,0.290274,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,9,1000000002,20,-941.947,-2709.28,-51.1245,119.952,0.279389,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,10,1000000000,21,-940.185,-2709.2,-57.2934,134.963,0.192307,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,10,1000000002,22,-941.577,-2709.47,-51.0743,134.963,0.341071,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,11,1000000000,23,-940.178,-2709.69,-57.6946,150.06,0.166908,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,11,1000000002,24,-940.958,-2710.36,-51.2287,150.06,0.243105,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,12,1000000000,25,-940.878,-2709.93,-57.4658,164.959,0.166908,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,12,1000000002,26,-941.848,-2710.63,-50.8994,164.959,0.406382,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,13,1000000000,27,-940.754,-2709.94,-57.0656,179.946,0.214078,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,13,1000000002,28,-941.963,-2711.36,-50.1185,179.946,0.384612,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,14,NA,29,-946.766,-2705.71,-51.0663,194.944,0.0653126,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,14,1000000000,30,-941.535,-2710.61,-56.7769,194.944,0.210449,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,14,1000000002,31,-942.279,-2712.1,-50.0741,194.944,0.315673,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,15,1000000000,32,-941.666,-2711.33,-57.475,210.076,0.268504,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,15,1000000002,33,-941.818,-2712.5,-50.6032,210.076,0.373727,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,16,1000000000,34,-941.58,-2711.66,-57.3236,224.969,0.210449,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,16,1000000002,35,-941.553,-2712.84,-50.4371,224.969,0.312044,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,17,1000000000,36,-941.462,-2711.68,-57.6899,239.937,0.268504,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,17,1000000002,37,-941.5,-2712.99,-49.9251,239.937,0.333815,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,17,NA,38,-946.287,-2706.98,-50.8625,239.937,0.0580557,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,18,1000000000,39,-941.652,-2711.49,-57.6621,255.011,0.27576,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,18,1000000002,40,-941.023,-2713.72,-49.4386,255.011,0.406382,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,19,1000000000,41,-941.193,-2711.93,-57.4267,270.022,0.235848,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,19,1000000002,42,-940.64,-2714.21,-48.909,270.022,0.402754,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,20,1000000000,43,-941.246,-2712.06,-57.7781,285.032,0.27576,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,20,1000000002,44,-940.274,-2714.58,-49.6411,285.032,0.402754,1,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000000,0,-979.233,-2714.01,-52.6123,0,0.48277,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000000,1,-979.733,-2713.45,-51.9918,14.966,0.540847,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,3,1000000000,2,-980.32,-2713.88,-50.7783,30.104,0.519068,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,4,1000000000,3,-980.356,-2714.04,-50.2487,44.945,0.566256,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,5,1000000000,4,-979.781,-2714.28,-49.3865,59.934,0.544477,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,6,1000000000,5,-980.318,-2714.77,-48.9017,74.975,0.551737,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,7,1000000000,6,-980.592,-2715.36,-49.0417,89.974,0.588035,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,8,1000000000,7,-981.301,-2715.46,-47.7582,105.082,0.67515,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,9,1000000000,8,-981.532,-2715.38,-46.8476,119.952,0.67515,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,10,1000000000,9,-981.532,-2715.97,-46.3266,134.963,0.00363003,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,10,1000000000,10,-981.392,-2715.6,-46.3346,134.963,0.820342,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,11,1000000000,11,-982.151,-2716.45,-45.9982,150.06,0.871159,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,12,1000000000,12,-982.383,-2717.12,-45.6621,164.959,1.02724,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,13,1000000000,13,-982.871,-2717.66,-44.5814,179.946,0.954645,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,14,1000000000,14,-982.756,-2718.34,-43.6431,194.944,1.17243,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,15,1000000000,15,-983.254,-2719.13,-41.7224,210.076,1.03087,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,16,1000000000,16,-983.052,-2719.8,-41.3262,224.969,1.1325,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,17,1000000000,17,-982.77,-2720.56,-41.252,239.937,0.715078,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,18,1000000000,18,-982.547,-2720.59,-40.48,255.011,0.998202,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,19,1000000000,19,-982.73,-2721.22,-40.3268,270.022,0.649742,2,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000000,0,-1013.62,-2710.01,-48.0506,0,0.370105,3,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000001,1,-1017.03,-2702.31,-49.6803,0,0.21771,3,Inhibition
,,,,,,,,,,,,
10.1,1k,5,1,1000000001,2,-1016.65,-2702.36,-49.8645,0,0.00362864,3,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000000,3,-1013.6,-2710.03,-48.6975,14.966,0.297536,3,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000001,4,-1017.39,-2702.12,-50.6692,14.966,0.203196,3,Inhibition
,,,,,,,,,,,,
10.1,1k,5,2,1000000001,5,-1017.58,-2701.93,-50.4878,14.966,0.0471712,3,Inhibition
,,,,,,,,,,,,
